first_name	last_name	gender	dob	state	phone	zip	age	cost
Ashleigh	Doughnut	F	9/23/1932	CA	18034505989	37838	88	cost
Todd	Curler	M	7/10/1916	CA	6885063878	43095	105	cost
Carman	Crisp	F	8/2/1966	CA	1633363688	84220	54	cost
Asheley	Dough	F	5/19/1949	IA	1977935073	41288	72	cost
John	Crisp	M	8/29/2017	CA	2387332458	32890	3	cost
Ben	Do	M	8/13/1946	VT	7695457361	67334	74	cost
Carman	Doe	F	6/2/1914	TX	3382665120	21982	107	cost
Ben	Crisp	M	2/3/1977	VT	3848987816	33561	44	cost
Todd	Sourdough	M	7/24/1979	CA	2837612916	65703	41	cost
Todd	Dough	M	8/5/1956	VT	6068802014	34935	64	cost
Asheley	Sourdough	F	12/15/1941	TX	11282756781	99136	79	cost
Carman	Fryer	F	9/25/1951	IA	8116613481	54875	69	cost
Asheley	Curler	F	12/6/1942	IA	1546721576	17044	78	cost
Ben	Sourdough	M	5/17/1963	IA	6722052645	4396	58	cost
Ben	Crisp	M	6/21/1942	TX	6008237715	50317	79	cost
Alex	Do	M	3/5/1987	IA	5035466623	18353	34	cost
Alex	Do	F	5/15/1926	IA	17351196578	38351	95	cost
Carman	Do	F	10/19/1979	IA	2862028873	90325	41	cost
Thomas	Do	M	12/28/1919	IA	4396447343	4859	101	cost
Alex	Curler	M	4/23/1980	IA	16737298364	84188	41	cost
Todd	Doe	M	2/24/1978	VT	6474484357	6343	43	cost
Todd	Fryer	M	12/17/2004	TX	7773993300	86584	16	cost
Lisa	Fryer	F	4/7/1970	VT	4267815049	98933	51	cost
Asheley	Crisp	F	12/26/1941	TX	16107566561	44141	79	cost
Lisa	Sourdough	F	8/25/2004	IA	1766292673	44445	16	cost
Carman	Dough	F	12/28/1994	VT	7388617999	89732	26	cost
Ben	Doe	M	5/26/1949	VT	18691463961	34820	72	cost
Thomas	Dough	M	9/18/2026	IA	4497645327	26810	-6	cost
Thomas	Do	M	5/16/1972	IA	17625075795	76137	49	cost
Alex	Sourdough	M	8/21/2011	IA	13176017662	52574	9	cost
Ben	Fryer	M	9/28/1965	VT	8477997724	96688	55	cost
Alex	Sourdough	M	3/25/1925	CA	4648404406	48170	96	cost
Asheley	Do	F	4/10/2012	TX	4708097502	2829	9	cost
Ben	Do	M	6/23/1967	CA	2458644554	60898	54	cost
Ben	Sourdough	M	5/26/2031	TX	6817143260	25119	-10	cost
Alex	Fryer	F	8/15/2006	VT	4942834606	41503	14	cost
Carman	Crisp	F	7/15/1966	TX	1715706328	69124	55	cost
Lisa	Sourdough	F	5/24/2005	IA	1861021292	76834	16	cost
John	Crisp	M	9/15/1987	IA	15898628815	46027	33	cost
Alex	Dough	M	2/8/1940	TX	3285251684	17972	81	cost
Carman	Do	F	5/26/2007	IA	16702682244	22145	14	cost
Alex	Curler	F	8/27/1996	TX	8642501062	62766	24	cost
Jim	Do	M	9/28/1985	VT	1516627424	79940	35	cost
Alex	Sourdough	F	1/27/1963	VT	3386938771	6232	58	cost
Asheley	Crisp	F	6/6/1989	CA	6395076217	20289	32	cost
Thomas	Do	M	11/30/1920	TX	6975638412	54385	100	cost
John	Sourdough	M	11/12/1939	CA	14583493342	10112	81	cost
John	Curler	M	3/12/1933	IA	3355362732	78317	88	cost
Lisa	Sourdough	F	2/26/1976	IA	6877954648	16580	45	cost
Todd	Crisp	M	2/12/1939	CA	7187662918	60139	82	cost
Ben	Crisp	M	11/15/1954	CA	8966735829	68509	66	cost
Todd	Crisp	M	4/7/1933	VT	5786015452	89031	88	cost
Carman	Doughnut	F	7/9/1991	CA	15508797231	98518	30	cost
Ben	Doe	M	12/31/1975	IA	6446432824	84429	45	cost
Carman	Crisp	F	5/15/2029	CA	5136811303	10959	-8	cost
Asheley	Curler	F	10/11/1952	TX	5831361012	47314	68	cost
Ben	Dough	M	7/15/2017	VT	3542376450	81527	4	cost
Asheley	Doughnut	F	6/30/1934	IA	8867198963	26482	87	cost
Ben	Doe	M	2/11/1969	CA	7152414888	54408	52	cost
Jim	Sourdough	M	2/7/1932	CA	8352507788	32774	89	cost
John	Fryer	M	4/24/1942	TX	12033688021	69245	79	cost
John	Fryer	M	5/25/1925	TX	3107781047	76562	96	cost
Carman	Dough	F	6/21/2023	VT	12532306630	28256	-2	cost
Lisa	Doe	F	5/24/1936	VT	4982286688	61551	85	cost
Alex	Doe	M	1/26/2006	IA	2082251261	15243	15	cost
John	Doe	M	8/7/1934	TX	3713935183	77117	86	cost
Thomas	Sourdough	M	5/10/1935	TX	3028875338	55274	86	cost
Jim	Crisp	M	10/11/2003	VT	8464198054	61973	17	cost
Jim	Curler	M	5/6/2009	VT	8491593132	39702	12	cost
Ashleigh	Do	F	11/24/1979	VT	16311965118	68014	41	cost
Asheley	Doe	F	12/27/1982	IA	3722697837	71191	38	cost
Lisa	Doe	F	10/26/1995	IA	8364315710	25630	25	cost
Alex	Doughnut	M	10/25/1944	IA	17232341104	82179	76	cost
Alex	Doughnut	M	12/14/1923	VT	6407286004	30208	97	cost
Ben	Do	M	8/7/2026	IA	1996857880	85346	-6	cost
Ben	Doughnut	M	5/13/1988	TX	8094042989	70753	33	cost
Ashleigh	Doe	F	5/18/1982	IA	7038082664	28036	39	cost
Carman	Curler	F	6/3/1941	VT	3443566446	46722	80	cost
Ashleigh	Do	F	4/30/2021	CA	2168246299	13781	0	cost
Asheley	Curler	F	11/8/1983	CA	7408153763	86680	37	cost
Asheley	Dough	F	2/24/2012	IA	8243855500	50140	9	cost
Lisa	Curler	F	3/26/1996	IA	8321635878	53331	25	cost
Asheley	Crisp	F	9/24/1945	TX	4282794602	71099	75	cost
Lisa	Crisp	F	2/15/1998	CA	4338512750	30985	23	cost
Ashleigh	Doughnut	F	2/24/1914	CA	11542525862	85049	107	cost
Alex	Dough	M	2/25/1912	IA	2524228692	13949	109	cost
Thomas	Curler	M	1/4/1931	TX	16562425848	85794	90	cost
Jim	Sourdough	M	11/4/1951	TX	1273612088	69855	69	cost
John	Sourdough	M	11/29/1917	CA	8094144004	28678	103	cost
John	Dough	M	4/24/2029	TX	6786033673	92812	-8	cost
Thomas	Doughnut	M	2/25/1978	CA	3183878535	67173	43	cost
Alex	Curler	M	9/30/1946	IA	7978812223	45315	74	cost
Jim	Doe	M	9/30/1975	VT	8877514953	13547	45	cost
Jim	Sourdough	M	12/25/1962	CA	2548715496	49949	58	cost
Ben	Doe	M	12/29/1926	CA	3295031632	35637	94	cost
Alex	Fryer	M	6/15/1926	CA	17828175976	59173	95	cost
Carman	Do	F	8/10/2003	IA	17641155178	3684	17	cost
Carman	Doe	F	4/8/1966	TX	3706841740	95253	55	cost
John	Do	M	7/23/1946	TX	17165964427	37787	75	cost
Thomas	Doe	M	12/21/1959	IA	8127607251	37866	61	cost
Alex	Do	M	8/21/1911	CA	5258593793	6288	109	cost
Alex	Doe	F	7/13/1920	IA	2385516931	75512	101	cost
John	Curler	M	1/24/1940	VT	2811308562	19411	81	cost
Lisa	Fryer	F	12/23/1962	IA	7656121009	81268	58	cost
Alex	Crisp	M	6/21/1986	CA	4303975452	76013	35	cost
Alex	Fryer	F	9/26/2004	VT	17872938488	88708	16	cost
John	Doughnut	M	2/21/1993	VT	3266328448	23704	28	cost
Asheley	Fryer	F	1/7/2015	CA	3857121105	88678	6	cost
Lisa	Doughnut	F	3/17/1913	TX	5006181641	12008	108	cost
Alex	Doe	M	3/11/1978	VT	7448605318	90030	43	cost
Todd	Curler	M	11/25/2016	VT	2917866727	19716	4	cost
Asheley	Do	F	12/25/1987	TX	5897186927	49073	33	cost
Thomas	Crisp	M	1/16/1921	CA	1795256678	5119	100	cost
Carman	Sourdough	F	5/8/1916	IA	6202068234	5852	105	cost
Lisa	Sourdough	F	6/23/1916	VT	3642922895	36624	105	cost
Asheley	Do	F	11/17/1937	TX	18996993044	90749	83	cost
Carman	Curler	F	12/2/1972	IA	2054347904	77978	48	cost
John	Dough	M	6/17/1961	CA	7054041153	61920	60	cost
Ashleigh	Fryer	F	11/4/2001	IA	14492505291	50352	19	cost
Alex	Fryer	M	5/5/1925	CA	7023095326	56486	96	cost
Jim	Sourdough	M	12/24/1976	TX	7698641295	49938	44	cost
Alex	Crisp	M	11/18/1963	TX	5963886130	92052	57	cost
Alex	Fryer	M	3/6/2022	IA	4618133476	14355	-1	cost
Ashleigh	Crisp	F	3/30/2030	TX	3372553782	25497	-9	cost
Todd	Dough	M	5/24/1917	VT	16108214967	84155	104	cost
Jim	Fryer	M	7/7/1949	TX	7992617002	70138	72	cost
Carman	Doughnut	F	8/19/2019	TX	2005895995	21778	1	cost
Alex	Doughnut	F	5/11/2018	VT	4458232144	92149	3	cost
Ben	Doughnut	M	1/29/1942	VT	13466774926	35798	79	cost
Ashleigh	Doughnut	F	12/27/1938	VT	6616685393	94696	82	cost
Lisa	Fryer	F	7/4/1969	CA	5158496514	76263	52	cost
Alex	Sourdough	M	12/27/1961	IA	1577262194	25372	59	cost
John	Curler	M	10/26/1921	VT	6716576340	55761	99	cost
Alex	Fryer	M	12/6/1947	IA	2457327231	23208	73	cost
Thomas	Doe	M	2/26/2024	VT	3936225149	27834	-3	cost
Thomas	Doughnut	M	12/11/1973	VT	6058087613	94013	47	cost
Ben	Sourdough	M	5/31/1943	IA	4835454493	17647	78	cost
Carman	Curler	F	1/12/1971	CA	17764945162	97107	50	cost
Carman	Curler	F	8/30/1945	IA	6036022464	58513	75	cost
Thomas	Curler	M	12/14/2023	TX	5921904494	91162	-3	cost
Ashleigh	Dough	F	4/8/1920	IA	7065194234	30142	101	cost
Lisa	Fryer	F	10/13/2019	TX	16242651584	69148	1	cost
Alex	Fryer	F	10/12/1934	CA	4143427334	78112	86	cost
Alex	Curler	F	3/13/1943	VT	7323373704	4858	78	cost
Asheley	Doughnut	F	12/14/1923	TX	16041034515	33212	97	cost
Alex	Crisp	M	11/22/1965	CA	7893368875	35471	55	cost
John	Crisp	M	6/26/2029	IA	13598666950	59646	-8	cost
Alex	Sourdough	F	11/15/2020	CA	14917574012	12225	0	cost
Ashleigh	Dough	F	10/29/1989	TX	18366142361	71424	31	cost
Lisa	Doughnut	F	9/2/2025	IA	6976623879	82130	-5	cost
Lisa	Fryer	F	4/1/2006	TX	18233567449	15324	15	cost
Asheley	Crisp	F	6/11/2031	CA	6218027280	98916	-10	cost
Todd	Sourdough	M	5/15/2030	IA	3325064394	18745	-9	cost
Alex	Curler	M	4/8/1954	IA	17032164757	83105	67	cost
Lisa	Curler	F	4/1/1982	CA	7758257274	30669	39	cost
Asheley	Crisp	F	12/17/1983	TX	4786407383	46006	37	cost
Ben	Doe	M	3/26/1984	CA	1108555896	81957	37	cost
Thomas	Crisp	M	6/30/1973	IA	12797644283	34293	48	cost
John	Do	M	7/3/1931	VT	7621193331	3226	90	cost
Lisa	Sourdough	F	8/15/1918	IA	11226711623	69372	102	cost
Ashleigh	Crisp	F	7/1/1968	TX	18024736369	21234	53	cost
Ben	Dough	M	6/25/1976	CA	1643317861	48247	45	cost
Todd	Do	M	11/9/2024	TX	8763886345	99432	-4	cost
Lisa	Do	F	6/7/1951	TX	1261952965	58476	70	cost
Ashleigh	Doughnut	F	5/16/1997	IA	8396975098	65536	24	cost
Carman	Fryer	F	7/27/2025	CA	14836282483	28881	-5	cost
Thomas	Sourdough	M	4/26/1995	IA	1025976621	15948	26	cost
Thomas	Curler	M	5/29/1999	VT	8934596205	18058	22	cost
Ashleigh	Crisp	F	4/17/1983	CA	3698653301	57609	38	cost
Alex	Doughnut	M	12/3/2012	VT	8658106377	38205	8	cost
John	Dough	M	12/24/1918	CA	7493322931	32444	102	cost
Jim	Doughnut	M	8/24/1937	VT	1292501912	62285	83	cost
Alex	Fryer	M	2/5/1957	IA	11336885864	17876	64	cost
Lisa	Sourdough	F	11/4/1976	IA	1745873446	1018	44	cost
John	Dough	M	2/28/1974	VT	1938625745	38458	47	cost
Jim	Dough	M	8/31/1916	TX	4732454450	74966	104	cost
Lisa	Doughnut	F	7/17/1931	VT	7768577692	44448	90	cost
